# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: Kepler with J2
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
59592.95438657,-0.38376601,-0.17807674,0.97867304
59592.95450232,-0.37570827,-0.17036518,0.98316758
59592.95461806,-0.36760279,-0.16263191,0.98753709
59592.95473380,-0.35945059,-0.15487794,0.99178102
59592.95484954,-0.35125271,-0.14710424,0.99589884
59592.95496528,-0.34301020,-0.13931180,0.99989002
59592.95508102,-0.33472410,-0.13150161,1.00375406
59592.95519676,-0.32639547,-0.12367468,1.00749047
59592.95531250,-0.31802537,-0.11583198,1.01109878
59592.95542824,-0.30961486,-0.10797453,1.01457853
59592.95554398,-0.30116501,-0.10010332,1.01792927
59592.95565972,-0.29267691,-0.09221934,1.02115059
59592.95577546,-0.28415162,-0.08432361,1.02424207
59592.95589120,-0.27559023,-0.07641712,1.02720333
59592.95600694,-0.26699384,-0.06850089,1.03003399
59592.95612269,-0.25836353,-0.06057591,1.03273369
59592.95623843,-0.24970040,-0.05264320,1.03530210
59592.95635417,-0.24100556,-0.04470376,1.03773888
59592.95646991,-0.23228011,-0.03675861,1.04004373
59592.95658565,-0.22352516,-0.02880875,1.04221637
59592.95670139,-0.21474183,-0.02085519,1.04425650
59592.95681713,-0.20593122,-0.01289895,1.04616389
59592.95693287,-0.19709447,-0.00494104,1.04793828
59592.95704861,-0.18823269,0.00301754,1.04957946
59592.95716435,-0.17934702,0.01097576,1.05108721
59592.95728009,-0.17043857,0.01893263,1.05246135
59592.95739583,-0.16150850,0.02688712,1.05370171
59592.95751157,-0.15255792,0.03483823,1.05480813
59592.95762732,-0.14358798,0.04278495,1.05578047
59592.95774306,-0.13459982,0.05072626,1.05661861
59592.95785880,-0.12559459,0.05866116,1.05732245
59592.95797454,-0.11657342,0.06658863,1.05789189
59592.95809028,-0.10753746,0.07450768,1.05832688
59592.95820602,-0.09848786,0.08241729,1.05862735
59592.95832176,-0.08942578,0.09031646,1.05879327
59592.95843750,-0.08035236,0.09820419,1.05882462
59592.95855324,-0.07126876,0.10607947,1.05872140
59592.95866898,-0.06217614,0.11394130,1.05848362
59592.95878472,-0.05307564,0.12178869,1.05811133
59592.95890046,-0.04396842,0.12962063,1.05760456
59592.95901620,-0.03485565,0.13743614,1.05696338
59592.95913194,-0.02573848,0.14523421,1.05618788
59592.95924769,-0.01661807,0.15301387,1.05527816
59592.95936343,-0.00749558,0.16077411,1.05423434
59592.95947917,0.00162784,0.16851396,1.05305654
59592.95959491,0.01075102,0.17623243,1.05174493
59592.95971065,0.01987281,0.18392854,1.05029968
59592.95982639,0.02899204,0.19160131,1.04872096
59592.95994213,0.03810755,0.19924977,1.04700898
59592.96005787,0.04721820,0.20687295,1.04516396
59592.96017361,0.05632282,0.21446987,1.04318614
59592.96028935,0.06542025,0.22203958,1.04107577
59592.96040509,0.07450934,0.22958112,1.03883313
59592.96052083,0.08358893,0.23709352,1.03645849
59592.96063657,0.09265788,0.24457582,1.03395217
59592.96075232,0.10171502,0.25202709,1.03131448
59592.96086806,0.11075921,0.25944638,1.02854576
59592.96098380,0.11978930,0.26683273,1.02564637
59592.96109954,0.12880415,0.27418522,1.02261667
59592.96121528,0.13780260,0.28150292,1.01945706
59592.96133102,0.14678352,0.28878488,1.01616793
59592.96144676,0.15574576,0.29603019,1.01274971
59592.96156250,0.16468819,0.30323793,1.00920283
59592.96167824,0.17360968,0.31040718,1.00552775
59592.96179398,0.18250908,0.31753703,1.00172494
59592.96190972,0.19138526,0.32462658,0.99779488
59592.96202546,0.20023711,0.33167493,0.99373806
59592.96214120,0.20906350,0.33868118,0.98955502
59592.96225694,0.21786331,0.34564445,0.98524628
59592.96237269,0.22663541,0.35256384,0.98081239
59592.96248843,0.23537870,0.35943848,0.97625393
59592.96260417,0.24409207,0.36626750,0.97157146
59592.96271991,0.25277441,0.37305004,0.96676558
59592.96283565,0.26142462,0.37978522,0.96183692
59592.96295139,0.27004160,0.38647220,0.95678609
59592.96306713,0.27862425,0.39311013,0.95161374
59592.96318287,0.28717149,0.39969817,0.94632053
59592.96329861,0.29568224,0.40623547,0.94090714
59592.96341435,0.30415541,0.41272121,0.93537424
59592.96353009,0.31258992,0.41915457,0.92972256
59592.96364583,0.32098472,0.42553474,0.92395280
59592.96376157,0.32933872,0.43186089,0.91806571
59592.96387732,0.33765088,0.43813223,0.91206202
59592.96399306,0.34592013,0.44434796,0.90594252
59592.96410880,0.35414544,0.45050730,0.89970797
59592.96422454,0.36232574,0.45660946,0.89335916
59592.96434028,0.37046002,0.46265367,0.88689692
59592.96445602,0.37854723,0.46863916,0.88032205
59592.96457176,0.38658634,0.47456517,0.87363540
59592.96468750,0.39457635,0.48043095,0.86683782
59592.96480324,0.40251623,0.48623576,0.85993016
59592.96491898,0.41040498,0.49197887,0.85291332
59592.96503472,0.41824160,0.49765953,0.84578819
59592.96515046,0.42602510,0.50327704,0.83855566
59592.96526620,0.43375448,0.50883067,0.83121666
59592.96538194,0.44142876,0.51431973,0.82377213
59592.96549769,0.44904698,0.51974352,0.81622300
59592.96561343,0.45660817,0.52510135,0.80857025
59592.96572917,0.46411136,0.53039254,0.80081484
59592.96584491,0.47155561,0.53561642,0.79295776
59592.96596065,0.47893998,0.54077233,0.78500001
59592.96607639,0.48626352,0.54585962,0.77694259
59592.96619213,0.49352531,0.55087763,0.76878655
59592.96630787,0.50072443,0.55582574,0.76053290
59592.96642361,0.50785996,0.56070332,0.75218271
59592.96653935,0.51493100,0.56550974,0.74373703
59592.96665509,0.52193666,0.57024440,0.73519694
59592.96677083,0.52887604,0.57490669,0.72656351
59592.96688657,0.53574826,0.57949604,0.71783786
59592.96700232,0.54255247,0.58401185,0.70902109
59592.96711806,0.54928778,0.58845355,0.70011431
59592.96723380,0.55595335,0.59282058,0.69111866
59592.96734954,0.56254834,0.59711239,0.68203529
59592.96746528,0.56907191,0.60132843,0.67286534
59592.96758102,0.57552322,0.60546817,0.66360999
59592.96769676,0.58190147,0.60953108,0.65427040
59592.96781250,0.58820585,0.61351665,0.64484778
59592.96792824,0.59443555,0.61742437,0.63534330
59592.96804398,0.60058979,0.62125375,0.62575818
59592.96815972,0.60666778,0.62500430,0.61609364
59592.96827546,0.61266877,0.62867555,0.60635091
59592.96839120,0.61859198,0.63226703,0.59653122
59592.96850694,0.62443666,0.63577829,0.58663582
59592.96862269,0.63020208,0.63920888,0.57666596
59592.96873843,0.63588751,0.64255837,0.56662292
59592.96885417,0.64149223,0.64582633,0.55650797
59592.96896991,0.64701551,0.64901235,0.54632239
59592.96908565,0.65245668,0.65211603,0.53606747
59592.96920139,0.65781503,0.65513696,0.52574453
59592.96931713,0.66308989,0.65807478,0.51535486
59592.96943287,0.66828059,0.66092910,0.50489980
59592.96954861,0.67338647,0.66369957,0.49438066
59592.96966435,0.67840688,0.66638583,0.48379878
59592.96978009,0.68334120,0.66898755,0.47315551
59592.96989583,0.68818879,0.67150440,0.46245220
59592.97001157,0.69294904,0.67393604,0.45169020
59592.97012732,0.69762135,0.67628219,0.44087088
59592.97024306,0.70220512,0.67854254,0.42999562
59592.97035880,0.70669978,0.68071680,0.41906580
59592.97047454,0.71110476,0.68280470,0.40808280
59592.97059028,0.71541950,0.68480598,0.39704802
59592.97070602,0.71964345,0.68672038,0.38596285
59592.97082176,0.72377608,0.68854765,0.37482872
59592.97093750,0.72781687,0.69028758,0.36364702
59592.97105324,0.73176529,0.69193993,0.35241918
59592.97116898,0.73562087,0.69350450,0.34114662
59592.97128472,0.73938309,0.69498109,0.32983078
59592.97140046,0.74305150,0.69636952,0.31847309
59592.97151620,0.74662563,0.69766960,0.30707499
59592.97163194,0.75010501,0.69888117,0.29563792
59592.97174769,0.75348922,0.70000409,0.28416335
59592.97186343,0.75677782,0.70103820,0.27265272
59592.97197917,0.75997041,0.70198338,0.26110750
59592.97209491,0.76306656,0.70283950,0.24952916
59592.97221065,0.76606590,0.70360647,0.23791915
59592.97232639,0.76896804,0.70428417,0.22627896
59592.97244213,0.77177262,0.70487253,0.21461005
59592.97255787,0.77447928,0.70537148,0.20291392
59592.97267361,0.77708768,0.70578094,0.19119205
59592.97278935,0.77959749,0.70610087,0.17944592
59592.97290509,0.78200839,0.70633123,0.16767702
59592.97302083,0.78432008,0.70647198,0.15588685
59592.97313657,0.78653226,0.70652311,0.14407691
59592.97325232,0.78864465,0.70648462,0.13224868
59592.97336806,0.79065700,0.70635651,0.12040368
59592.97348380,0.79256903,0.70613879,0.10854340
59592.97359954,0.79438052,0.70583149,0.09666935
59592.97371528,0.79609123,0.70543466,0.08478304
59592.97383102,0.79770095,0.70494834,0.07288597
59592.97394676,0.79920947,0.70437259,0.06097966
59592.97406250,0.80061661,0.70370749,0.04906561
59592.97417824,0.80192218,0.70295312,0.03714533
59592.97429398,0.80312601,0.70210958,0.02522034
59592.97440972,0.80422797,0.70117697,0.01329216
59592.97452546,0.80522791,0.70015541,0.00136228
59592.97464120,0.80612570,0.69904504,-0.01056776
59592.97475694,0.80692123,0.69784599,-0.02249647
59592.97487269,0.80761440,0.69655842,-0.03442232
59592.97498843,0.80820512,0.69518248,-0.04634381
59592.97510417,0.80869332,0.69371836,-0.05825941
59592.97521991,0.80907894,0.69216623,-0.07016763
59592.97533565,0.80936193,0.69052630,-0.08206694
59592.97545139,0.80954225,0.68879878,-0.09395584
59592.97556713,0.80961988,0.68698387,-0.10583283
59592.97568287,0.80959481,0.68508182,-0.11769639
59592.97579861,0.80946705,0.68309286,-0.12954501
59592.97591435,0.80923661,0.68101724,-0.14137721
59592.97603009,0.80890352,0.67885523,-0.15319147
59592.97614583,0.80846783,0.67660711,-0.16498629
59592.97626157,0.80792958,0.67427315,-0.17676019
59592.97637732,0.80728886,0.67185365,-0.18851167
59592.97649306,0.80654574,0.66934893,-0.20023923
59592.97660880,0.80570031,0.66675929,-0.21194139
59592.97672454,0.80475269,0.66408506,-0.22361666
59592.97684028,0.80370298,0.66132659,-0.23526357
59592.97695602,0.80255134,0.65848423,-0.24688063
59592.97707176,0.80129790,0.65555832,-0.25846637
59592.97718750,0.79994282,0.65254925,-0.27001933
59592.97730324,0.79848628,0.64945740,-0.28153803
59592.97741898,0.79692846,0.64628315,-0.29302102
59592.97753472,0.79526955,0.64302692,-0.30446684
59592.97765046,0.79350978,0.63968910,-0.31587403
59592.97776620,0.79164935,0.63627013,-0.32724116
59592.97788194,0.78968852,0.63277044,-0.33856677
59592.97799769,0.78762752,0.62919047,-0.34984943
59592.97811343,0.78546662,0.62553067,-0.36108771
59592.97822917,0.78320609,0.62179152,-0.37228019
59592.97834491,0.78084622,0.61797347,-0.38342544
59592.97846065,0.77838731,0.61407703,-0.39452205
59592.97857639,0.77582967,0.61010267,-0.40556861
59592.97869213,0.77317363,0.60605091,-0.41656372
59592.97880787,0.77041952,0.60192225,-0.42750599
59592.97892361,0.76756769,0.59771722,-0.43839402
59592.97903935,0.76461850,0.59343636,-0.44922645
59592.97915509,0.76157234,0.58908020,-0.46000188
59592.97927083,0.75842957,0.58464931,-0.47071895
59592.97938657,0.75519061,0.58014422,-0.48137631
59592.97950232,0.75185586,0.57556553,-0.49197261
59592.97961806,0.74842575,0.57091381,-0.50250649
59592.97973380,0.74490070,0.56618965,-0.51297662
59592.97984954,0.74128118,0.56139365,-0.52338167
59592.97996528,0.73756763,0.55652641,-0.53372033
59592.98008102,0.73376053,0.55158855,-0.54399127
59592.98019676,0.72986037,0.54658071,-0.55419320
59592.98031250,0.72586762,0.54150350,-0.56432483
59592.98042824,0.72178281,0.53635758,-0.57438486
59592.98054398,0.71760645,0.53114360,-0.58437202
59592.98065972,0.71333907,0.52586222,-0.59428504
59592.98077546,0.70898120,0.52051411,-0.60412267
59592.98089120,0.70453341,0.51509994,-0.61388365
59592.98100694,0.69999626,0.50962040,-0.62356675
59592.98112269,0.69537032,0.50407619,-0.63317073
59592.98123843,0.69065617,0.49846801,-0.64269439
59592.98135417,0.68585442,0.49279657,-0.65213650
59592.98146991,0.68096568,0.48706259,-0.66149588
59592.98158565,0.67599056,0.48126679,-0.67077132
59592.98170139,0.67092970,0.47540991,-0.67996167
59592.98181713,0.66578373,0.46949270,-0.68906574
59592.98193287,0.66055332,0.46351590,-0.69808238
59592.98204861,0.65523912,0.45748026,-0.70701045
59592.98216435,0.64984180,0.45138656,-0.71584882
59592.98228009,0.64436205,0.44523557,-0.72459636
59592.98239583,0.63880057,0.43902806,-0.73325196
59592.98251157,0.63315806,0.43276483,-0.74181453
59592.98262732,0.62743524,0.42644666,-0.75028297
59592.98274306,0.62163283,0.42007436,-0.75865621
59592.98285880,0.61575156,0.41364874,-0.76693318
59592.98297454,0.60979219,0.40717061,-0.77511284
59592.98309028,0.60375547,0.40064079,-0.78319415
59592.98320602,0.59764216,0.39406011,-0.79117608
59592.98332176,0.59145304,0.38742940,-0.79905761
59592.98343750,0.58518890,0.38074951,-0.80683775
59592.98355324,0.57885052,0.37402127,-0.81451551
59592.98366898,0.57243872,0.36724555,-0.82208991
59592.98378472,0.56595430,0.36042321,-0.82955998
59592.98390046,0.55939809,0.35355510,-0.83692479
59592.98401620,0.55277092,0.34664210,-0.84418339
59592.98413194,0.54607362,0.33968508,-0.85133486
59592.98424769,0.53930706,0.33268493,-0.85837830
59592.98436343,0.53247208,0.32564254,-0.86531281
59592.98447917,0.52556956,0.31855880,-0.87213750
59592.98459491,0.51860036,0.31143460,-0.87885151
59592.98471065,0.51156537,0.30427085,-0.88545398
59592.98482639,0.50446549,0.29706845,-0.89194409
59592.98494213,0.49730162,0.28982833,-0.89832099
59592.98505787,0.49007466,0.28255140,-0.90458389
59592.98517361,0.48278553,0.27523858,-0.91073198
59592.98528935,0.47543515,0.26789080,-0.91676449
59592.98540509,0.46802446,0.26050899,-0.92268064
59592.98552083,0.46055440,0.25309409,-0.92847968
59592.98563657,0.45302591,0.24564704,-0.93416088
59592.98575232,0.44543995,0.23816878,-0.93972352
59592.98586806,0.43779748,0.23066026,-0.94516687
59592.98598380,0.43009947,0.22312244,-0.95049027
59592.98609954,0.42234690,0.21555626,-0.95569301
59592.98621528,0.41454075,0.20796270,-0.96077446
59592.98633102,0.40668201,0.20034271,-0.96573395
59592.98644676,0.39877168,0.19269725,-0.97057085
59592.98656250,0.39081076,0.18502731,-0.97528456
59592.98667824,0.38280026,0.17733385,-0.97987446
59592.98679398,0.37474119,0.16961785,-0.98433998
59592.98690972,0.36663459,0.16188028,-0.98868055
59592.98702546,0.35848147,0.15412214,-0.99289562
59592.98714120,0.35028288,0.14634440,-0.99698464
59592.98725694,0.34203985,0.13854804,-1.00094709
59592.98737269,0.33375343,0.13073407,-1.00478248
59592.98748843,0.32542467,0.12290347,-1.00849031
59592.98760417,0.31705462,0.11505724,-1.01207011
59592.98771991,0.30864435,0.10719637,-1.01552143
59592.98783565,0.30019493,0.09932185,-1.01884382
59592.98795139,0.29170743,0.09143469,-1.02203686
59592.98806713,0.28318292,0.08353589,-1.02510014
59592.98818287,0.27462249,0.07562646,-1.02803327
59592.98829861,0.26602722,0.06770739,-1.03083588
59592.98841435,0.25739821,0.05977968,-1.03350761
59592.98853009,0.24873654,0.05184436,-1.03604811
59592.98864583,0.24004332,0.04390242,-1.03845707
59592.98876157,0.23131966,0.03595487,-1.04073418
59592.98887732,0.22256665,0.02800272,-1.04287914
59592.98899306,0.21378542,0.02004699,-1.04489168
59592.98910880,0.20497706,0.01208867,-1.04677154
59592.98922454,0.19614272,0.00412879,-1.04851848
59592.98934028,0.18728349,-0.00383166,-1.05013228
59592.98945602,0.17840051,-0.01179165,-1.05161272
59592.98957176,0.16949491,-0.01975017,-1.05295963
