# Ae9Ap9 Model output file: FlockThesis/FlockThesisRun.AP9.output_mean_flux.txt
# Ae9Ap9 Software Version:  1.55.002
#
# Model type:               AP9
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 300 400 700 1200 2000
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
59593.45774306,-0.79163826,-0.71046739,-0.06980911,1.22854657e+02,1.10236606e+02,8.98258818e+01,7.24905552e+01,5.96917405e+01,4.04284073e+01,1.86788811e+01,6.25194077e+00,2.00441686e+00,8.17499792e-01,3.52099141e-01,1.71727571e-01,9.11113236e-02,6.36642455e-02,5.18457577e-02,4.49801359e-02,3.88843746e-02,3.03661717e-02,2.20484923e-02,1.32294235e-02,6.83435031e-03,2.22032677e-03,2.11990973e-04,0.00000000e+00,0.00000000e+00
59593.45785880,-0.79312489,-0.70987810,-0.05788860,7.74265387e+01,6.96371898e+01,5.69706863e+01,4.61103995e+01,3.80376330e+01,2.57986776e+01,1.18775307e+01,3.92046641e+00,1.21444190e+00,4.73116029e-01,1.97485290e-01,9.55240946e-02,5.15357789e-02,3.64126878e-02,3.00750206e-02,2.62646562e-02,2.28682375e-02,1.79293100e-02,1.30536490e-02,7.83182431e-03,4.06811328e-03,1.28770904e-03,4.30843321e-05,0.00000000e+00,0.00000000e+00
59593.45797454,-0.79451060,-0.70919848,-0.04596073,5.45896765e+01,4.90820525e+01,4.01294836e+01,3.24505101e+01,2.67576565e+01,1.81559122e+01,8.35434306e+00,2.74679968e+00,8.41139255e-01,3.22998771e-01,1.33777312e-01,6.46475849e-02,3.50765996e-02,2.48143581e-02,2.05689331e-02,1.79843377e-02,1.56933798e-02,1.23052373e-02,8.97514045e-03,5.17648250e-03,2.70245762e-03,8.39780030e-04,3.81675247e-05,0.00000000e+00,0.00000000e+00
59593.45809028,-0.79579521,-0.70842862,-0.03402701,3.32179911e+01,2.98543592e+01,2.43855253e+01,1.96830666e+01,1.62100240e+01,1.09906507e+01,5.03080653e+00,1.63058990e+00,4.84451739e-01,1.79640786e-01,7.29076187e-02,3.50706931e-02,1.92437200e-02,1.36633117e-02,1.14397935e-02,1.00536913e-02,8.84121711e-03,6.96493762e-03,5.12880118e-03,2.60677148e-03,1.39126296e-03,4.32217912e-04,2.89277306e-05,0.00000000e+00,0.00000000e+00
59593.45820602,-0.79697857,-0.70756863,-0.02208896,1.98170223e+01,1.78050198e+01,1.45378569e+01,1.17354437e+01,9.66877978e+00,6.56522604e+00,3.01583293e+00,9.82844777e-01,2.93708014e-01,1.09374789e-01,4.45290108e-02,2.14624253e-02,1.17791643e-02,8.35279384e-03,6.97868508e-03,6.02757064e-03,5.29413409e-03,4.16215212e-03,3.05474721e-03,1.57229697e-03,8.32028958e-04,2.55726396e-04,1.52812112e-05,0.00000000e+00,0.00000000e+00
59593.45832176,-0.79806052,-0.70661861,-0.01014810,8.24967317e+00,7.41015662e+00,6.04831143e+00,4.88246791e+00,4.02376992e+00,2.73515204e+00,1.25973458e+00,4.12166189e-01,1.23673951e-01,4.61906047e-02,1.88465418e-02,9.09679098e-03,4.99383852e-03,3.53881541e-03,2.95297666e-03,2.58308174e-03,2.26619185e-03,1.77828217e-03,1.30110681e-03,7.36195685e-04,3.86338653e-04,1.15922141e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
59593.45843750,-0.79904093,-0.70557868,0.00179405,4.81569847e+00,4.32452222e+00,3.52868665e+00,2.84905171e+00,2.34916957e+00,1.59940838e+00,7.39457025e-01,2.43359331e-01,7.34801883e-02,2.75690457e-02,1.12848637e-02,5.45762262e-03,2.99611847e-03,2.11965377e-03,1.76417153e-03,1.50365176e-03,1.31712329e-03,1.03084352e-03,7.51285419e-04,2.64809481e-04,1.37611113e-04,4.06115670e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00
59593.45855324,-0.79991967,-0.70444897,0.01373597,2.21425624e+00,1.98823912e+00,1.62231739e+00,1.31043100e+00,1.08123150e+00,7.37395918e-01,3.42264008e-01,1.13341803e-01,3.44597029e-02,1.29950410e-02,5.33720269e-03,2.58601587e-03,1.41902951e-03,1.00128934e-03,8.30229956e-04,5.55819800e-04,4.87184623e-04,3.81710804e-04,2.78581813e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
59593.45866898,-0.80069662,-0.70322963,0.02567615,5.84319348e-01,5.24626691e-01,4.28064615e-01,3.45932432e-01,2.85630766e-01,1.95150440e-01,9.09560984e-02,3.03162066e-02,9.28298884e-03,3.51891888e-03,1.45017676e-03,7.03967021e-04,3.86115052e-04,2.71731631e-04,2.24450902e-04,1.15704052e-04,1.01416385e-04,7.94600819e-05,5.79918971e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
59593.45878472,-0.80137170,-0.70192080,0.03761306,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
59593.45890046,-0.80194480,-0.70052266,0.04954518,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
