# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
56658.51099537,0.74963641,-0.79473109,-0.22432405
56658.51111111,0.75015718,-0.79736078,-0.21288311
56658.51122685,0.75059458,-0.79990185,-0.20141845
56658.51134259,0.75094855,-0.80235401,-0.18993134
56658.51145833,0.75121904,-0.80471698,-0.17842306
56658.51157407,0.75140603,-0.80699049,-0.16689490
56658.51168981,0.75150949,-0.80917429,-0.15534813
56658.51180556,0.75152939,-0.81126812,-0.14378405
56658.51192130,0.75146573,-0.81327175,-0.13220394
56658.51203704,0.75131852,-0.81518496,-0.12060909
56658.51215278,0.75108776,-0.81700751,-0.10900080
56658.51226852,0.75077347,-0.81873920,-0.09738035
56658.51238426,0.75037569,-0.82037985,-0.08574904
56658.51250000,0.74989446,-0.82192925,-0.07410818
56658.51261574,0.74932982,-0.82338723,-0.06245905
56658.51273148,0.74868183,-0.82475362,-0.05080295
56658.51284722,0.74795056,-0.82602828,-0.03914119
56658.51296296,0.74713609,-0.82721104,-0.02747506
56658.51307870,0.74623850,-0.82830177,-0.01580587
56658.51319444,0.74525789,-0.82930036,-0.00413492
56658.51331019,0.74419436,-0.83020668,0.00753650
56658.51342593,0.74304802,-0.83102062,0.01920707
56658.51354167,0.74181901,-0.83174210,0.03087550
56658.51365741,0.74050746,-0.83237102,0.04254048
56658.51377315,0.73911349,-0.83290732,0.05420072
56658.51388889,0.73763728,-0.83335092,0.06585491
56658.51400463,0.73607898,-0.83370179,0.07750175
56658.51412037,0.73443875,-0.83395987,0.08913994
56658.51423611,0.73271678,-0.83412513,0.10076819
56658.51435185,0.73091325,-0.83419755,0.11238519
56658.51446759,0.72902837,-0.83417711,0.12398964
56658.51458333,0.72706234,-0.83406383,0.13558026
56658.51469907,0.72501538,-0.83385770,0.14715574
56658.51481481,0.72288770,-0.83355874,0.15871480
56658.51493056,0.72067955,-0.83316699,0.17025615
56658.51504630,0.71839117,-0.83268249,0.18177849
56658.51516204,0.71602281,-0.83210529,0.19328054
56658.51527778,0.71357474,-0.83143544,0.20476101
56658.51539352,0.71104721,-0.83067303,0.21621862
56658.51550926,0.70844051,-0.82981813,0.22765210
56658.51562500,0.70575494,-0.82887083,0.23906016
56658.51574074,0.70299077,-0.82783125,0.25044154
56658.51585648,0.70014833,-0.82669948,0.26179495
56658.51597222,0.69722793,-0.82547567,0.27311914
56658.51608796,0.69422989,-0.82415993,0.28441283
56658.51620370,0.69115454,-0.82275242,0.29567476
56658.51631944,0.68800222,-0.82125329,0.30690369
56658.51643519,0.68477328,-0.81966271,0.31809834
56658.51655093,0.68146808,-0.81798084,0.32925748
56658.51666667,0.67808699,-0.81620789,0.34037986
56658.51678241,0.67463038,-0.81434403,0.35146422
56658.51689815,0.67109864,-0.81238949,0.36250934
56658.51701389,0.66749216,-0.81034447,0.37351398
56658.51712963,0.66381133,-0.80820920,0.38447692
56658.51724537,0.66005657,-0.80598392,0.39539691
56658.51736111,0.65622830,-0.80366888,0.40627276
56658.51747685,0.65232694,-0.80126433,0.41710324
56658.51759259,0.64835292,-0.79877054,0.42788714
56658.51770833,0.64430669,-0.79618779,0.43862325
56658.51782407,0.64018870,-0.79351636,0.44931039
56658.51793981,0.63599940,-0.79075655,0.45994735
56658.51805556,0.63173926,-0.78790866,0.47053294
56658.51817130,0.62740875,-0.78497303,0.48106599
56658.51828704,0.62300837,-0.78194996,0.49154532
56658.51840278,0.61853859,-0.77883980,0.50196975
56658.51851852,0.61399991,-0.77564290,0.51233813
56658.51863426,0.60939284,-0.77235960,0.52264929
56658.51875000,0.60471790,-0.76899029,0.53290208
56658.51886574,0.59997560,-0.76553532,0.54309537
56658.51898148,0.59516647,-0.76199509,0.55322800
56658.51909722,0.59029105,-0.75836999,0.56329885
56658.51921296,0.58534989,-0.75466042,0.57330680
56658.51932870,0.58034352,-0.75086680,0.58325072
56658.51944444,0.57527251,-0.74698956,0.59312951
56658.51956019,0.57013743,-0.74302912,0.60294206
56658.51967593,0.56493884,-0.73898592,0.61268728
56658.51979167,0.55967733,-0.73486042,0.62236408
56658.51990741,0.55435348,-0.73065307,0.63197138
56658.52002315,0.54896789,-0.72636435,0.64150811
56658.52013889,0.54352115,-0.72199474,0.65097321
