Date,Time,SolarCycle,Time Between Storms,PFU
10/16/2000,1125,SS23,34,15
10/26/2000,40,SS23,10,15
11/8/2000,2350,SS23,13,14800
11/24/2000,1520,SS23,16,940
1/28/2001,2025,SS23,65,49
3/29/2001,1635,SS23,60,35
4/2/2001,2340,SS23,4,1110
4/10/2001,850,SS23,8,355
4/15/2001,1410,SS23,5,951
4/18/2001,315,SS23,3,321
4/28/2001,430,SS23,10,57
5/7/2001,1915,SS23,9,30
6/15/2001,1750,SS23,39,26
8/10/2001,1020,SS23,56,17
8/16/2001,135,SS23,6,493
9/15/2001,1435,SS23,30,11
9/24/2001,1215,SS23,9,12900
10/1/2001,1145,SS23,7,2360
10/19/2001,2225,SS23,18,11
10/22/2001,1910,SS23,3,24
11/4/2001,1705,SS23,13,31700
11/19/2001,1230,SS23,15,34
11/22/2001,2320,SS23,3,18900
12/26/2001,605,SS23,34,779
12/29/2001,510,SS23,3,76
12/30/2001,245,SS23,1,108
1/10/2002,2045,SS23,11,91
1/15/2002,1435,SS23,5,15
2/20/2002,730,SS23,36,13
3/17/2002,820,SS23,25,13
3/18/2002,1300,SS23,1,53
3/20/2002,1510,SS23,2,19
3/22/2002,2020,SS23,2,16
4/17/2002,1530,SS23,26,24
4/21/2002,225,SS23,4,2520
5/22/2002,1775,SS23,31,820
7/7/2002,1830,SS23,46,22
7/16/2002,1750,SS23,9,234
7/19/2002,1050,SS23,3,13
7/22/2002,655,SS23,3,28
8/14/2002,900,SS23,23,26
8/22/2002,440,SS23,8,36
8/24/2002,140,SS23,2,317
9/7/2002,440,SS23,14,208
11/9/2002,1920,SS23,63,404
5/28/2003,2335,SS23,200,121
5/31/2003,440,SS23,3,27
6/18/2003,2050,SS23,18,24
10/26/2003,1825,SS23,130,466
10/28/2003,1215,SS23,2,29500
11/2/2003,1105,SS23,5,1570
11/4/2003,2225,SS23,2,353
11/21/2003,2355,SS23,17,13
12/2/2003,1505,SS23,11,86
4/11/2004,1135,SS23,131,35
7/25/2004,1855,SS23,105,2086
9/13/2004,2105,SS23,50,273
9/19/2004,1925,SS23,6,57
11/1/2004,655,SS23,43,63
11/7/2004,1910,SS23,6,495
1/16/2005,210,SS23,70,5040
5/14/2005,525,SS23,118,3140
6/16/2005,2200,SS23,33,44
7/14/2005,245,SS23,28,134
7/27/2005,2300,SS23,13,41
8/22/2005,2040,SS23,26,330
9/8/2005,215,SS23,17,1880
12/6/2006,1555,SS23,454,1980
12/13/2006,310,SS23,7,698
8/14/2010,1230,SS24,1340,14
3/8/2011,105,SS24,206,50
3/21/2011,1950,SS24,13,14
6/7/2011,820,SS24,78,72
8/4/2011,635,SS24,58,96
8/9/2011,845,SS24,5,26
9/23/2011,2255,SS24,45,35
11/26/2011,1125,SS24,64,80
1/23/2012,530,SS24,58,6310
1/27/2012,1905,SS24,4,796
3/7/2012,510,SS24,40,6530
3/13/2012,1810,SS24,6,469
5/17/2012,210,SS24,65,255
5/27/2012,535,SS24,10,14
6/16/2012,1955,SS24,20,14
7/7/2012,400,SS24,21,25
7/12/2012,1835,SS24,5,96
7/17/2012,1715,SS24,5,136
7/23/2012,1545,SS24,6,12
9/1/2012,1335,SS24,40,59
9/28/2012,300,SS24,27,28
3/16/2013,1940,SS24,169,16
4/11/2013,1055,SS24,26,114
5/14/2013,1325,SS24,33,41
5/22/2013,1420,SS24,8,1660
6/23/2013,2014,SS24,32,14
9/30/2013,505,SS24,99,182
12/28/2013,2150,SS24,89,29
1/6/2014,915,SS24,9,42
1/6/2014,915,SS24,0,1033
2/20/2014,850,SS24,45,22
2/25/2014,1355,SS24,5,103
6/18/2015,1135,SS24,478,16
10/29/2015,550,SS24,133,23
1/2/2016,430,SS24,65,21
9/5/2017,751,SS24,612,210
