# File: FlockThesis/ephem_FlockTLE.dat
#
# Ephemeris generated from TLE input file: C:/Users/jonat/OneDrive/Documents/MATLAB/ThesisCode/SatObs/SGP4_matlab/FlockTLE.txt
# Propagator: SatEph
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55197.51145833,0.12029088,-0.12831513,1.12523926
55197.51157407,0.10874650,-0.12909426,1.12631792
55197.51168981,0.09719084,-0.12986002,1.12727956
55197.51180556,0.08562512,-0.13061233,1.12812408
55197.51192130,0.07405052,-0.13135111,1.12885139
55197.51203704,0.06246825,-0.13207629,1.12946142
55197.51215278,0.05087950,-0.13278779,1.12995410
55197.51226852,0.03928548,-0.13348554,1.13032938
55197.51238426,0.02768739,-0.13416946,1.13058722
55197.51250000,0.01608643,-0.13483949,1.13072759
55197.51261574,0.00448380,-0.13549555,1.13075048
55197.51273148,-0.00711929,-0.13613758,1.13065587
55197.51284722,-0.01872164,-0.13676550,1.13044379
55197.51296296,-0.03032205,-0.13737927,1.13011425
55197.51307870,-0.04191932,-0.13797880,1.12966729
55197.51319444,-0.05351224,-0.13856404,1.12910294
55197.51331019,-0.06509961,-0.13913493,1.12842127
55197.51342593,-0.07668024,-0.13969140,1.12762234
55197.51354167,-0.08825292,-0.14023341,1.12670624
55197.51365741,-0.09981645,-0.14076089,1.12567306
55197.51377315,-0.11136963,-0.14127379,1.12452290
55197.51388889,-0.12291127,-0.14177205,1.12325589
55197.51400463,-0.13444017,-0.14225563,1.12187215
55197.51412037,-0.14595513,-0.14272447,1.12037182
55197.51423611,-0.15745496,-0.14317852,1.11875507
55197.51435185,-0.16893847,-0.14361775,1.11702204
55197.51446759,-0.18040446,-0.14404209,1.11517293
55197.51458333,-0.19185176,-0.14445151,1.11320792
55197.51469907,-0.20327916,-0.14484596,1.11112721
55197.51481481,-0.21468549,-0.14522541,1.10893102
55197.51493056,-0.22606956,-0.14558980,1.10661957
55197.51504630,-0.23743019,-0.14593912,1.10419311
55197.51516204,-0.24876620,-0.14627331,1.10165187
55197.51527778,-0.26007643,-0.14659235,1.09899612
55197.51539352,-0.27135968,-0.14689619,1.09622615
55197.51550926,-0.28261480,-0.14718481,1.09334222
55197.51562500,-0.29384062,-0.14745818,1.09034464
55197.51574074,-0.30503596,-0.14771627,1.08723371
55197.51585648,-0.31619968,-0.14795906,1.08400976
55197.51597222,-0.32733060,-0.14818650,1.08067312
55197.51608796,-0.33842759,-0.14839859,1.07722414
55197.51620370,-0.34948947,-0.14859530,1.07366316
55197.51631944,-0.36051511,-0.14877661,1.06999056
55197.51643519,-0.37150337,-0.14894250,1.06620671
55197.51655093,-0.38245309,-0.14909295,1.06231201
55197.51666667,-0.39336315,-0.14922794,1.05830686
55197.51678241,-0.40423241,-0.14934747,1.05419166
55197.51689815,-0.41505975,-0.14945152,1.04996686
55197.51701389,-0.42584403,-0.14954007,1.04563287
55197.51712963,-0.43658414,-0.14961312,1.04119015
55197.51724537,-0.44727897,-0.14967066,1.03663916
55197.51736111,-0.45792739,-0.14971269,1.03198036
55197.51747685,-0.46852832,-0.14973919,1.02721425
55197.51759259,-0.47908064,-0.14975016,1.02234130
55197.51770833,-0.48958326,-0.14974561,1.01736203
55197.51782407,-0.50003509,-0.14972554,1.01227695
55197.51793981,-0.51043504,-0.14968993,1.00708658
55197.51805556,-0.52078204,-0.14963881,1.00179147
55197.51817130,-0.53107500,-0.14957217,0.99639216
55197.51828704,-0.54131285,-0.14949002,0.99088920
55197.51840278,-0.55149455,-0.14939236,0.98528317
55197.51851852,-0.56161901,-0.14927921,0.97957464
55197.51863426,-0.57168520,-0.14915058,0.97376422
55197.51875000,-0.58169207,-0.14900648,0.96785249
55197.51886574,-0.59163857,-0.14884693,0.96184007
55197.51898148,-0.60152367,-0.14867194,0.95572758
55197.51909722,-0.61134635,-0.14848152,0.94951566
55197.51921296,-0.62110558,-0.14827570,0.94320495
55197.51932870,-0.63080034,-0.14805451,0.93679609
55197.51944444,-0.64042964,-0.14781795,0.93028977
55197.51956019,-0.64999246,-0.14756606,0.92368664
55197.51967593,-0.65948782,-0.14729886,0.91698740
55197.51979167,-0.66891472,-0.14701638,0.91019273
55197.51990741,-0.67827219,-0.14671864,0.90330335
55197.52002315,-0.68755924,-0.14640568,0.89631996
55197.52013889,-0.69677493,-0.14607754,0.88924329
55197.52025463,-0.70591828,-0.14573423,0.88207408
55197.52037037,-0.71498834,-0.14537580,0.87481306
55197.52048611,-0.72398417,-0.14500229,0.86746099
55197.52060185,-0.73290484,-0.14461373,0.86001863
55197.52071759,-0.74174941,-0.14421016,0.85248675
55197.52083333,-0.75051697,-0.14379162,0.84486614
55197.52094907,-0.75920660,-0.14335817,0.83715758
55197.52106481,-0.76781740,-0.14290983,0.82936188
55197.52118056,-0.77634847,-0.14244666,0.82147985
55197.52129630,-0.78479893,-0.14196871,0.81351229
55197.52141204,-0.79316788,-0.14147602,0.80546005
55197.52152778,-0.80145447,-0.14096864,0.79732395
55197.52164352,-0.80965783,-0.14044663,0.78910483
55197.52175926,-0.81777710,-0.13991005,0.78080357
55197.52187500,-0.82581145,-0.13935894,0.77242101
55197.52199074,-0.83376002,-0.13879336,0.76395802
55197.52210648,-0.84162200,-0.13821337,0.75541549
55197.52222222,-0.84939657,-0.13761904,0.74679430
55197.52233796,-0.85708291,-0.13701041,0.73809535
55197.52245370,-0.86468023,-0.13638756,0.72931954
55197.52256944,-0.87218774,-0.13575055,0.72046778
55197.52268519,-0.87960464,-0.13509945,0.71154100
55197.52280093,-0.88693018,-0.13443432,0.70254012
55197.52291667,-0.89416358,-0.13375523,0.69346608
55197.52303241,-0.90130410,-0.13306225,0.68431982
55197.52314815,-0.90835099,-0.13235545,0.67510229
55197.52326389,-0.91530351,-0.13163491,0.66581445
55197.52337963,-0.92216094,-0.13090070,0.65645727
55197.52349537,-0.92892258,-0.13015289,0.64703171
55197.52361111,-0.93558770,-0.12939157,0.63753877
55197.52372685,-0.94215562,-0.12861681,0.62797942
55197.52384259,-0.94862566,-0.12782870,0.61835467
55197.52395833,-0.95499714,-0.12702730,0.60866551
55197.52407407,-0.96126940,-0.12621272,0.59891295
55197.52418981,-0.96744178,-0.12538502,0.58909800
55197.52430556,-0.97351364,-0.12454431,0.57922170
55197.52442130,-0.97948436,-0.12369066,0.56928505
55197.52453704,-0.98535330,-0.12282416,0.55928911
55197.52465278,-0.99111985,-0.12194490,0.54923491
55197.52476852,-0.99678342,-0.12105298,0.53912350
55197.52488426,-1.00234342,-0.12014848,0.52895592
55197.52500000,-1.00779927,-0.11923150,0.51873325
55197.52511574,-1.01315040,-0.11830214,0.50845654
55197.52523148,-1.01839625,-0.11736049,0.49812686
55197.52534722,-1.02353627,-0.11640664,0.48774528
55197.52546296,-1.02856994,-0.11544071,0.47731290
55197.52557870,-1.03349673,-0.11446278,0.46683080
55197.52569444,-1.03831613,-0.11347297,0.45630006
55197.52581019,-1.04302763,-0.11247136,0.44572179
55197.52592593,-1.04763075,-0.11145808,0.43509708
55197.52604167,-1.05212500,-0.11043321,0.42442705
55197.52615741,-1.05650993,-0.10939687,0.41371281
55197.52627315,-1.06078507,-0.10834917,0.40295546
55197.52638889,-1.06494998,-0.10729021,0.39215614
55197.52650463,-1.06900423,-0.10622011,0.38131596
55197.52662037,-1.07294740,-0.10513897,0.37043606
55197.52673611,-1.07677907,-0.10404691,0.35951757
55197.52685185,-1.08049886,-0.10294404,0.34856163
55197.52696759,-1.08410637,-0.10183048,0.33756938
55197.52708333,-1.08760123,-0.10070634,0.32654196
55197.52719907,-1.09098308,-0.09957173,0.31548053
55197.52731481,-1.09425157,-0.09842679,0.30438623
55197.52743056,-1.09740636,-0.09727161,0.29326023
55197.52754630,-1.10044713,-0.09610634,0.28210368
55197.52766204,-1.10337355,-0.09493108,0.27091774
55197.52777778,-1.10618533,-0.09374596,0.25970358
55197.52789352,-1.10888218,-0.09255110,0.24846237
55197.52800926,-1.11146382,-0.09134662,0.23719528
55197.52812500,-1.11392998,-0.09013266,0.22590348
55197.52824074,-1.11628041,-0.08890934,0.21458816
55197.52835648,-1.11851487,-0.08767678,0.20325048
55197.52847222,-1.12063312,-0.08643511,0.19189164
55197.52858796,-1.12263495,-0.08518447,0.18051280
55197.52870370,-1.12452016,-0.08392497,0.16911517
